course_title,course_url
Assets in Accounting,https://www.coursera.org/learn/accounting-assets
"Assets, Threats, and Vulnerabilities",https://www.coursera.org/learn/assets-threats-and-vulnerabilities
Astronomy: Exploring Time and Space,https://www.coursera.org/learn/astro
Attract and Engage Customers with Digital Marketing,https://www.coursera.org/learn/attract-and-engage-customers
Auditing I: Conceptual Foundations of Auditing,https://www.coursera.org/learn/auditing-part1-conceptual-foundations
Autodesk CAD/CAM/CAE for Mechanical Engineering,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,https://www.coursera.org/learn/autodesk-autocad-design-drafting
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,https://www.coursera.org/learn/autodesk-revit-architectural-design
Automate Cybersecurity Tasks with Python,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python
"BI Foundations with SQL, ETL and Data Warehousing",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
BIM Fundamentals for Engineers,https://www.coursera.org/learn/bim-fundamentals
Battery Technologies,https://www.coursera.org/specializations/battery-technologies
Bayesian Statistics,https://www.coursera.org/specializations/bayesian-statistics
Become a CBRS Certified Professional Installer by Google,https://www.coursera.org/learn/google-cbrs-cpi-training
Become a Journalist: Report the News!,https://www.coursera.org/specializations/become-a-journalist
Become an EMT,https://www.coursera.org/specializations/become-an-emt
Behavioral Finance,https://www.coursera.org/learn/duke-behavioral-finance
Big Data,https://www.coursera.org/specializations/big-data
Bioinformatics,https://www.coursera.org/specializations/bioinformatics
Biology Meets Programming: Bioinformatics for Beginners,https://www.coursera.org/learn/bioinformatics
Biostatistics in Public Health,https://www.coursera.org/specializations/biostatistics-public-health
Blockchain,https://www.coursera.org/specializations/blockchain
Blockchain Revolution,https://www.coursera.org/specializations/blockchain-revolution-enterprise
Blockchain Revolution in Financial Services,https://www.coursera.org/specializations/blockchain-financial-services
Bookkeeping Basics,https://www.coursera.org/learn/bookkeeping-basics
"Brand Management: Aligning Business, Brand and Behaviour",https://www.coursera.org/learn/brand
Branding: The Creative Journey,https://www.coursera.org/specializations/branding-the-creative-journey
Build Basic Generative Adversarial Networks (GANs),https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans
Build Dynamic User Interfaces (UI) for Websites,https://www.coursera.org/learn/responsive-web-design-adobe-xd
Build Wireframes and Low-Fidelity Prototypes,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.coursera.org/learn/build-a-computer
Building AI Powered Chatbots Without Programming,https://www.coursera.org/learn/building-ai-powered-chatbots
